id_annonce,type_evenement,famille_bodacc,gravite,siren,denomination,activite_declaree,code_commune,nom_commune,code_postal,population_commune,latitude,longitude,tribunal,date_jugement,montant_vente_eur,section_naf,libelle_section_naf,code_naf,tranche_effectif,date_creation_entreprise,url_annonce,date_parution
A202601811423,vente_fonds,vente,1,104931241,ZAIKH AND CO,épicerie fine - produits régionaux - vente de glaces,34324,Valras-Plage,34350,4432,43.2471,3.2909,Greffe du Tribunal de Commerce de Béziers,,650000.0,Z,Secteur non renseigne,00.00Z,NN,2026-04-25,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811423,2026-09-22
A202601811424,creation,creation,0,130273824,EMEORA,"vente à distance, via des plateformes de commerce en ligne (etsy), de produits imprimés à la demande (tote bags, mug, posters, t-shirts) avec des design personnalisés. les produits sont fabriqués et expédiés par un prestataire d'impression à la demande, sans stockage physique par l'entrepreneur",34139,Lieuran-lès-Béziers,34290,1486,43.4109,3.2324,Greffe du Tribunal de Commerce de Béziers,,,C,Industrie manufacturiere,18.12Z,NN,2026-09-21,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811424,2026-09-22
A202601811425,creation,creation,0,130065204,SBboutique,"commerce de détail en ligne de produits cosmétiques, produits de beauté, parfumerie, soins du visage et du corps, articles de toilette et accessoires de beauté. achat et revente de produits neufs auprès de fournisseurs, commercialisés principalement par l'intermédiaire d'un site internet de commerce électronique.",34298,Sauvian,34410,5608,43.2885,3.2541,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.91B,NN,2026-10-01,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811425,2026-09-22
A202601811426,creation,creation,0,840920250,Stockinger,"vente en ligne d'articles de décoration et d'ambiance pour la maison (diffuseurs, objets d'ambiance) par le biais d'un site internet et des réseaux sociaux.",34003,Agde,34300,29939,43.3084,3.4838,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.91B,NN,2018-07-05,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811426,2026-09-22
A202601811427,creation,creation,0,909159907,Ness'B,"création de contenu et promotion de produits et services sur les réseaux sociaux, notamment dans le cadre de l'affiliation et du marketing d'influence sur les réseaux.",34161,Montady,34310,3990,43.3277,3.1177,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.91A,NN,2022-02-01,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811427,2026-09-22
A202601811428,creation,creation,0,500004965,BENZAAMA Salim,"commerce ambulant de produits d'épicerie et de produits alimentaires : dattes, fruits secs. - commerce ambulant de produits non alimentaires : ustensiles, accessoires de mode, articles divers et produits pour la maison.",34032,Béziers,34500,81545,43.3481,3.2342,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.81Z,NN,2007-08-16,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811428,2026-09-22
A202601811429,creation,creation,0,328018387,MAS,livraison et vente de produits alimentaires et non alimentaires,34332,Vias,34450,5952,43.3091,3.3948,Greffe du Tribunal de Commerce de Béziers,,,H,Transports et entreposage,53.20Z,NN,1983-06-10,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811429,2026-09-22
A202601811430,creation,creation,0,853554723,BOURAGA Gabin,"vente à distance sur catalogue générale. vente, notamment en ligne, de vêtements et accessoires de mode (produits non réglementés), ainsi que revente de produits capillaires et cosmétiques (produits réglementés).",34148,Maraussan,34370,4789,43.3733,3.154,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.91A,NN,2019-09-05,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811430,2026-09-22
A202601811431,creation,creation,0,523077527,Archi et Mollie,"création, conception et vente à distance de box créatives et éducatives pour enfants, comprenant des activités manuelles, jeux, supports pédagogiques et accessoires de loisirs créatifs.",34109,Gabian,34320,886,43.5182,3.2621,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.91B,NN,2010-06-11,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811431,2026-09-22
A202601811432,creation,creation,0,988719043,MAT.LOC.CAVALLO,la location de véhicules terrestres à moteur sans chauffeur,34300,Servian,34290,5517,43.4121,3.3017,Greffe du Tribunal de Commerce de Béziers,,,N,Services administratifs et de soutien,77.11A,NN,2025-07-01,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811432,2026-09-22
A202601811433,creation,creation,0,130181803,Plombs Occitan,"fabrication artisanale de lests et accessoires pour la pêche à partir de pierres naturelles, avec perçage et ajout d'un fil métallique, destinés à la pêche de loisir. - vente à distance des lests et accessoires de pêche fabriqués par l'entreprise.",34189,Olonzac,34210,1693,43.2816,2.7431,Greffe du Tribunal de Commerce de Béziers,,,Z,Secteur non renseigne,,,,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811433,2026-09-22
A202601811434,creation,creation,0,948867072,DELCAMBRE Joris,"exploitation d'un site internet de mise en relation entre particuliers et marques, rémunérée en commissions d'affiliation et de parrainage. rédaction de contenus éditoriaux et de vidéos destinés à ce site. activité exercée à distance, sans réception de clientèle, sans stockage ni vente de marchandises.",34136,Lézignan-la-Cèbe,34120,1580,43.4923,3.4405,Greffe du Tribunal de Commerce de Béziers,,,J,Information et communication,63.12Z,NN,2023-02-13,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811434,2026-09-22
A202601811435,creation,creation,0,130127608,L'empreinte des temps,"achat et revente d'objets d'art, antiquités, brocante et biens d'occasion par internet et sur des salons spécialisés",34199,Pézenas,34120,7797,43.4616,3.418,Greffe du Tribunal de Commerce de Béziers,,,G,"Commerce, reparation d'automobiles",47.91B,NN,2026-10-01,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811435,2026-09-22
A202601811436,creation,creation,0,130261787,JLK,"activité de coursiers urbains, services de livraisons de repas (sans fabrication) à domicile pour compte de tiers à vélo électrique ne nécessitant pas de capacité de transport",34032,Béziers,34500,81545,43.3481,3.2342,Greffe du Tribunal de Commerce de Béziers,,,H,Transports et entreposage,53.20Z,NN,2026-10-01,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811436,2026-09-22
A202601811437,creation,creation,0,130074842,DOUNS,"influenceuse et créatrice de contenus numériques : promotion commerciale de produits et services sur les réseaux sociaux, notamment tiktok et snapchat. - achat et revente de robes, vêtements et accessoires de mode neufs, vente au détail à distance sur internet et les réseaux sociaux, notamment tiktok.",34336,Villeneuve-lès-Béziers,34420,4500,43.3178,3.2909,Greffe du Tribunal de Commerce de Béziers,,,J,Information et communication,58.14Z,NN,2026-10-01,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811437,2026-09-22
