jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34172,G,Montpellier,"Commerce, reparation d'automobiles",41,0,9,2,20,22,0,3,5,0,8,41,145,14
2026-09-22,30,34172,M,Montpellier,"Activites specialisees, scientifiques et techniques",13,0,4,0,17,8,0,0,4,0,4,82,128,1
2026-09-22,30,34172,L,Montpellier,Activites immobilieres,17,0,15,1,15,7,0,0,0,0,0,37,94,10
2026-09-22,30,34172,I,Montpellier,Hebergement et restauration,7,0,2,2,13,8,0,7,5,0,12,40,91,-6
2026-09-22,30,34172,H,Montpellier,Transports et entreposage,44,0,1,0,12,11,0,0,0,0,0,10,78,33
2026-09-22,30,34172,F,Montpellier,Construction,3,0,0,0,6,11,0,3,8,0,11,30,68,-16
2026-09-22,30,34172,J,Montpellier,Information et communication,21,0,5,0,4,4,0,1,0,0,1,29,64,17
2026-09-22,30,34032,G,Béziers,"Commerce, reparation d'automobiles",11,0,3,2,7,9,0,0,0,0,0,18,50,2
2026-09-22,30,34172,K,Montpellier,Activites financieres et d'assurance,1,0,2,0,4,7,0,0,1,0,1,27,42,-7
2026-09-22,30,34172,N,Montpellier,Services administratifs et de soutien,5,0,2,0,6,3,0,2,4,0,6,20,42,-2
2026-09-22,30,34172,D,Montpellier,Production et distribution d'energie,2,0,0,0,10,0,0,0,0,0,0,24,36,2
2026-09-22,30,34032,F,Béziers,Construction,0,0,15,0,4,0,0,0,1,0,1,14,34,-1
2026-09-22,30,34032,D,Béziers,Production et distribution d'energie,2,0,0,0,1,0,0,0,0,0,0,29,32,2
2026-09-22,30,34032,L,Béziers,Activites immobilieres,5,0,7,0,3,1,0,0,0,0,0,12,28,4
2026-09-22,30,34003,G,Agde,"Commerce, reparation d'automobiles",4,0,0,0,1,5,0,0,0,0,0,14,25,-1
2026-09-22,30,34172,S,Montpellier,Autres activites de services,5,0,0,1,3,1,0,0,3,0,3,11,25,1
2026-09-22,30,34032,H,Béziers,Transports et entreposage,12,0,0,0,2,4,0,0,0,0,0,5,23,8
2026-09-22,30,34301,G,Sète,"Commerce, reparation d'automobiles",3,0,2,0,3,5,0,0,0,0,0,9,22,-2
2026-09-22,30,34301,L,Sète,Activites immobilieres,4,0,2,0,6,2,0,0,0,0,0,8,22,2
2026-09-22,30,34003,L,Agde,Activites immobilieres,3,0,2,0,9,1,0,0,0,0,0,6,21,2
2026-09-22,30,34032,M,Béziers,"Activites specialisees, scientifiques et techniques",3,0,0,0,4,0,0,0,0,0,0,13,21,3
2026-09-22,30,34032,N,Béziers,Services administratifs et de soutien,8,0,1,0,2,5,0,0,0,0,0,4,20,3
2026-09-22,30,34057,F,Castelnau-le-Lez,Construction,1,0,1,0,1,1,0,0,3,0,3,12,20,-3
2026-09-22,30,34003,I,Agde,Hebergement et restauration,1,0,0,0,1,4,0,0,0,0,0,12,19,-3
2026-09-22,30,34129,G,Lattes,"Commerce, reparation d'automobiles",2,0,2,1,2,3,0,0,1,0,1,7,19,-2
2026-09-22,30,34145,G,Lunel,"Commerce, reparation d'automobiles",6,0,0,1,1,1,0,0,0,0,0,10,19,5
2026-09-22,30,34154,M,Mauguio,"Activites specialisees, scientifiques et techniques",1,0,1,0,5,1,0,0,0,0,0,11,19,0
2026-09-22,30,34057,G,Castelnau-le-Lez,"Commerce, reparation d'automobiles",4,0,3,0,1,4,0,0,0,0,0,5,18,0
2026-09-22,30,34057,M,Castelnau-le-Lez,"Activites specialisees, scientifiques et techniques",2,0,0,0,0,1,0,0,0,0,0,14,18,1
2026-09-22,30,34172,P,Montpellier,Enseignement,3,0,1,0,2,2,0,1,1,0,2,7,17,0
2026-09-22,30,34172,Z,Montpellier,Secteur non renseigne,12,0,1,0,0,1,0,0,0,0,0,1,17,11
2026-09-22,30,34032,S,Béziers,Autres activites de services,2,0,1,0,2,1,0,0,1,0,1,8,16,0
2026-09-22,30,34032,I,Béziers,Hebergement et restauration,1,0,0,1,1,2,0,0,0,0,0,10,16,-1
2026-09-22,30,34108,G,Frontignan,"Commerce, reparation d'automobiles",4,0,1,0,0,4,0,0,0,0,0,7,16,0
2026-09-22,30,34199,G,Pézenas,"Commerce, reparation d'automobiles",2,0,0,0,1,1,0,0,0,0,0,12,16,1
2026-09-22,30,34129,M,Lattes,"Activites specialisees, scientifiques et techniques",1,0,4,0,2,0,0,0,0,0,0,7,15,1
2026-09-22,30,34154,G,Mauguio,"Commerce, reparation d'automobiles",3,0,0,0,3,2,0,0,0,0,0,7,15,1
2026-09-22,30,34032,C,Béziers,Industrie manufacturiere,1,0,0,0,2,3,0,0,0,0,0,6,14,-2
2026-09-22,30,34172,C,Montpellier,Industrie manufacturiere,2,0,0,1,3,5,0,1,0,0,1,2,14,-3
2026-09-22,30,34032,K,Béziers,Activites financieres et d'assurance,0,0,1,0,0,0,0,0,0,0,0,11,13,0
2026-09-22,30,34057,L,Castelnau-le-Lez,Activites immobilieres,1,0,1,0,3,1,0,0,0,0,0,7,13,0
2026-09-22,30,34145,F,Lunel,Construction,1,0,0,0,1,0,0,0,1,0,1,9,13,0
2026-09-22,30,34154,K,Mauguio,Activites financieres et d'assurance,0,0,3,0,1,1,0,0,0,0,0,8,13,-1
2026-09-22,30,34270,G,Saint-Jean-de-Védas,"Commerce, reparation d'automobiles",0,0,0,0,2,1,0,0,1,0,1,9,13,-2
2026-09-22,30,34129,K,Lattes,Activites financieres et d'assurance,0,0,0,0,2,1,0,0,0,0,0,9,12,-1
2026-09-22,30,34172,R,Montpellier,"Arts, spectacles et activites recreatives",2,0,1,0,1,1,0,0,1,0,1,4,12,0
2026-09-22,30,34003,M,Agde,"Activites specialisees, scientifiques et techniques",2,0,1,0,1,1,0,0,0,0,0,6,11,1
2026-09-22,30,34129,F,Lattes,Construction,1,0,1,0,1,1,0,1,0,0,1,5,11,0
2026-09-22,30,34270,Q,Saint-Jean-de-Védas,Sante humaine et action sociale,2,0,0,0,0,0,0,0,0,0,0,9,11,2
2026-09-22,30,34079,G,Clermont-l'Hérault,"Commerce, reparation d'automobiles",1,0,0,1,0,0,0,0,0,0,0,6,10,1
2026-09-22,30,34198,G,Pérols,"Commerce, reparation d'automobiles",1,0,0,0,2,0,0,2,0,0,2,5,10,1
2026-09-22,30,34090,G,Le Crès,"Commerce, reparation d'automobiles",1,0,1,0,2,0,1,0,0,0,1,4,9,1
2026-09-22,30,34123,H,Juvignac,Transports et entreposage,5,0,0,0,0,4,0,0,0,0,0,0,9,1
2026-09-22,30,34154,I,Mauguio,Hebergement et restauration,0,0,0,0,1,0,0,0,0,0,0,6,9,0
2026-09-22,30,34172,Q,Montpellier,Sante humaine et action sociale,0,0,0,0,1,0,0,0,0,0,0,8,9,0
2026-09-22,30,34270,M,Saint-Jean-de-Védas,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,2,0,0,0,0,0,7,9,-2
2026-09-22,30,34301,H,Sète,Transports et entreposage,5,0,0,0,0,0,0,0,0,0,0,4,9,5
2026-09-22,30,34327,G,Vendargues,"Commerce, reparation d'automobiles",1,0,0,0,1,3,0,0,0,0,0,3,9,-2
2026-09-22,30,34332,G,Vias,"Commerce, reparation d'automobiles",0,0,0,0,3,3,0,0,0,0,0,3,9,-3
2026-09-22,30,34332,I,Vias,Hebergement et restauration,0,0,0,0,1,0,0,0,0,0,0,8,9,0
2026-09-22,30,34344,M,La Grande-Motte,"Activites specialisees, scientifiques et techniques",2,0,0,0,0,0,0,0,1,0,1,6,9,1
2026-09-22,30,34003,F,Agde,Construction,1,0,0,0,0,2,0,0,0,0,0,5,8,-1
