nom_commune,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
Montpellier,178,0,43,7,119,91,0,18,32,0,50,375,886,55
Castelnau-le-Lez,14,0,5,1,15,10,0,0,3,0,3,60,112,1
Lattes,10,0,9,2,15,7,0,1,2,0,3,46,97,1
Saint-Jean-de-Védas,7,0,1,1,4,6,0,0,3,0,3,45,68,-2
Pérols,5,0,1,0,6,3,0,2,0,1,3,19,38,2
Béziers,50,0,29,3,32,29,0,0,2,0,2,140,291,19
Lunel,14,0,3,2,7,8,0,0,2,0,2,32,71,4
Mauguio,13,0,6,0,14,5,0,1,1,0,2,50,92,7
Le Crès,3,0,1,2,2,2,1,0,1,0,2,13,25,0
Saint-Gély-du-Fesc,2,0,1,0,1,1,0,1,1,0,2,23,30,0
commune inconnue,0,0,0,0,0,6,0,1,1,0,2,1,9,-7
Mèze,7,0,1,0,2,3,0,0,2,0,2,15,33,2
Sète,18,0,6,2,19,12,0,1,0,0,1,59,118,6
Clermont-l'Hérault,2,0,2,2,2,4,0,0,1,0,1,20,36,-3
La Grande-Motte,10,0,2,0,5,3,0,0,1,0,1,30,52,6
Gigean,2,0,0,0,0,3,0,0,1,0,1,11,17,-2
Baillargues,4,0,0,0,3,4,0,0,1,0,1,19,32,-1
Montarnaud,0,0,1,0,1,2,0,0,1,0,1,4,9,-3
Ganges,2,0,1,2,4,1,0,0,1,0,1,6,17,0
Saint-Georges-d'Orques,3,0,0,0,0,1,0,0,1,0,1,12,17,1
Vic-la-Gardiole,6,0,0,0,1,1,0,1,0,0,1,10,20,5
Maraussan,2,0,2,0,1,0,0,0,1,0,1,2,8,1
Perpignan,0,0,0,0,0,1,0,1,0,0,1,0,2,-1
Lansargues,2,0,0,0,0,2,0,0,1,0,1,3,8,-1
Nissan-lez-Enserune,0,0,1,0,0,3,0,0,1,0,1,5,10,-4
Pignan,2,0,0,1,0,0,0,0,1,0,1,4,8,1
Valflaunès,1,0,0,0,1,1,0,1,0,0,1,1,6,0
Claret,0,0,0,0,2,0,0,1,0,0,1,0,3,0
Saint-Sériès,1,0,0,0,0,0,0,0,1,0,1,3,5,0
Agde,19,0,6,1,14,14,0,0,0,0,0,64,120,5
Frontignan,10,0,1,1,1,5,0,0,0,0,0,20,38,5
Pézenas,5,0,2,3,2,2,0,0,0,0,0,29,44,3
Juvignac,12,0,1,0,3,11,0,0,0,0,0,4,32,1
Vendargues,3,0,1,0,3,7,0,0,0,0,0,20,35,-4
Vias,3,0,1,0,4,4,0,0,0,0,0,18,31,-1
Castries,3,0,0,0,5,2,0,0,0,0,0,16,26,1
Balaruc-les-Bains,1,0,0,0,2,1,0,0,0,0,0,13,17,0
Cournonsec,2,0,2,0,0,1,0,0,0,0,0,11,16,1
Fabrègues,4,0,1,0,3,0,0,0,0,0,0,15,23,4
Gignac,1,0,1,0,2,0,0,0,0,0,0,8,12,1
Grabels,6,0,1,0,3,1,0,0,0,0,0,14,25,5
Magalas,0,0,0,0,0,4,0,0,0,0,0,2,7,-4
Marseillan,4,0,1,0,7,1,0,0,0,0,0,13,27,3
Sauvian,4,0,2,0,0,3,0,0,0,0,0,11,21,1
Sérignan,3,0,1,0,2,4,0,0,0,0,0,10,23,-1
Teyran,5,0,0,0,2,3,0,0,0,0,0,10,21,2
Villeveyrac,0,0,0,0,1,0,0,0,0,0,0,10,11,0
Lavérune,0,0,0,0,1,2,0,0,0,0,0,10,13,-2
Maureilhan,0,0,0,0,3,0,0,0,0,0,0,8,11,0
Montferrier-sur-Lez,0,0,2,0,1,0,0,0,0,0,0,14,17,0
Palavas-les-Flots,4,0,0,0,2,0,0,0,0,0,0,9,16,4
Portiragnes,1,0,1,0,1,0,0,0,0,0,0,16,19,1
Prades-le-Lez,3,0,0,0,2,3,0,0,0,0,0,12,21,0
Saint-Aunès,1,0,0,0,3,3,0,0,0,0,0,14,21,-2
Villeneuve-lès-Béziers,4,0,1,0,1,2,0,0,0,0,0,12,20,2
Bédarieux,1,0,0,0,0,3,0,0,0,0,0,9,15,-2
Capestang,2,0,1,0,3,3,0,0,0,0,0,0,9,-1
Cazouls-lès-Béziers,5,0,0,0,3,0,0,0,0,0,0,5,14,5
Clapiers,5,0,0,0,2,1,0,0,0,0,0,7,15,4
Combaillaux,1,0,0,2,2,0,0,0,0,0,0,6,11,1
Cournonterral,1,0,1,0,1,2,0,0,0,0,0,9,15,-1
Lodève,4,0,0,1,1,2,0,0,0,0,0,5,13,2
Marsillargues,2,0,0,0,3,0,0,0,0,0,0,5,10,2
Montagnac,2,0,1,0,3,5,0,0,0,0,0,8,19,-3
Saint-André-de-Sangonis,6,0,1,1,3,1,0,0,0,0,0,1,13,5
Saint-Clément-de-Rivière,2,0,3,0,1,0,0,0,0,0,0,8,14,2
Vailhauquès,1,0,1,0,1,1,0,0,0,0,0,7,11,0
Vendres,1,0,1,1,1,1,0,0,0,0,0,9,14,0
Villeneuve-lès-Maguelone,5,0,0,0,3,3,0,0,0,0,0,5,17,2
Aniane,0,0,0,0,2,0,0,0,0,0,0,1,3,0
Aspiran,0,0,0,0,1,1,0,0,0,0,0,1,3,-1
Assas,1,0,0,0,0,1,0,0,0,0,0,2,4,0
