libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
Construction,12,0,20,0,28,29,0,5,16,0,21,206,330,-33
Hebergement et restauration,18,0,5,10,48,25,0,8,8,0,16,170,312,-15
"Commerce, reparation d'automobiles",132,0,31,11,82,102,1,5,8,0,14,288,674,22
Services administratifs et de soutien,39,0,9,0,20,28,0,2,6,0,8,89,197,5
"Activites specialisees, scientifiques et techniques",44,0,16,1,54,26,0,1,6,0,7,270,425,12
Autres activites de services,18,0,8,3,12,11,0,0,7,0,7,48,111,0
Industrie manufacturiere,11,0,2,3,23,17,0,2,2,0,4,62,128,-8
Activites immobilieres,87,0,54,2,68,28,0,1,2,0,3,165,409,57
Enseignement,5,0,4,0,5,6,0,1,1,1,3,24,50,-2
Secteur non renseigne,48,0,3,7,2,6,0,2,1,0,3,5,80,41
Information et communication,58,0,9,1,17,19,0,1,1,0,2,73,179,38
"Arts, spectacles et activites recreatives",9,0,2,1,9,4,0,0,2,0,2,28,59,3
Sante humaine et action sociale,2,0,0,0,8,0,0,1,1,0,2,55,68,1
Activites financieres et d'assurance,10,0,11,0,15,12,0,0,1,0,1,179,229,-3
Transports et entreposage,104,0,1,0,19,39,0,0,0,0,0,44,209,65
Production et distribution d'energie,6,0,0,0,12,0,0,0,0,0,0,67,85,6
"Agriculture, sylviculture et peche",2,0,1,0,5,8,0,0,0,0,0,15,31,-6
"Eau, assainissement, dechets",4,0,1,0,4,2,0,0,0,0,0,1,12,2
Industries extractives,0,0,0,0,0,0,0,0,0,0,0,1,1,0
