jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34172,G,Montpellier,"Commerce, reparation d'automobiles",18,0,4,2,8,10,0,3,2,0,5,7,56,6
2026-09-22,30,34172,I,Montpellier,Hebergement et restauration,1,0,0,0,3,6,0,2,3,0,5,15,36,-8
2026-09-22,30,34172,M,Montpellier,"Activites specialisees, scientifiques et techniques",3,0,2,0,6,1,0,0,2,0,2,20,34,0
2026-09-22,30,34172,F,Montpellier,Construction,0,0,0,0,1,7,0,3,1,0,4,11,29,-8
2026-09-22,30,34172,L,Montpellier,Activites immobilieres,6,0,3,0,4,3,0,0,0,0,0,10,26,3
2026-09-22,30,34172,J,Montpellier,Information et communication,7,0,2,0,3,2,0,0,0,0,0,11,25,5
2026-09-22,30,34172,H,Montpellier,Transports et entreposage,16,0,0,0,1,6,0,0,0,0,0,1,24,10
2026-09-22,30,34172,N,Montpellier,Services administratifs et de soutien,3,0,1,0,2,2,0,1,1,0,2,6,16,0
2026-09-22,30,34032,F,Béziers,Construction,0,0,8,0,2,0,0,0,1,0,1,1,12,-1
2026-09-22,30,34172,Z,Montpellier,Secteur non renseigne,8,0,0,0,0,1,0,0,0,0,0,1,12,7
2026-09-22,30,34032,L,Béziers,Activites immobilieres,4,0,4,0,2,0,0,0,0,0,0,1,11,4
2026-09-22,30,34057,F,Castelnau-le-Lez,Construction,1,0,0,0,1,1,0,0,0,0,0,7,11,0
2026-09-22,30,34172,S,Montpellier,Autres activites de services,1,0,0,0,2,1,0,0,0,0,0,5,10,0
2026-09-22,30,34032,G,Béziers,"Commerce, reparation d'automobiles",2,0,2,0,2,1,0,0,0,0,0,2,9,1
2026-09-22,30,34032,M,Béziers,"Activites specialisees, scientifiques et techniques",2,0,0,0,3,0,0,0,0,0,0,3,9,2
2026-09-22,30,34145,G,Lunel,"Commerce, reparation d'automobiles",2,0,0,1,0,0,0,0,0,0,0,6,9,2
2026-09-22,30,34003,L,Agde,Activites immobilieres,2,0,2,0,2,1,0,0,0,0,0,1,8,1
2026-09-22,30,34172,K,Montpellier,Activites financieres et d'assurance,0,0,0,0,1,1,0,0,1,0,1,5,8,-2
2026-09-22,30,34032,N,Béziers,Services administratifs et de soutien,5,0,1,0,0,1,0,0,0,0,0,0,7,4
2026-09-22,30,34032,S,Béziers,Autres activites de services,0,0,0,0,2,1,0,0,1,0,1,3,7,-2
2026-09-22,30,34154,M,Mauguio,"Activites specialisees, scientifiques et techniques",0,0,0,0,2,0,0,0,0,0,0,5,7,0
2026-09-22,30,34172,C,Montpellier,Industrie manufacturiere,1,0,0,0,2,2,0,1,0,0,1,1,7,-1
2026-09-22,30,34172,D,Montpellier,Production et distribution d'energie,0,0,0,0,6,0,0,0,0,0,0,1,7,0
2026-09-22,30,34032,H,Béziers,Transports et entreposage,5,0,0,0,0,1,0,0,0,0,0,0,6,4
2026-09-22,30,34108,G,Frontignan,"Commerce, reparation d'automobiles",2,0,1,0,0,1,0,0,0,0,0,2,6,1
2026-09-22,30,34129,F,Lattes,Construction,0,0,0,0,0,1,0,0,0,0,0,4,6,-1
2026-09-22,30,34154,I,Mauguio,Hebergement et restauration,0,0,0,0,1,0,0,0,0,0,0,3,6,0
2026-09-22,30,34172,P,Montpellier,Enseignement,2,0,0,0,0,2,0,1,0,0,1,1,6,0
2026-09-22,30,34199,G,Pézenas,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,5,6,1
2026-09-22,30,34270,G,Saint-Jean-de-Védas,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,0,0,0,5,6,-1
2026-09-22,30,34301,L,Sète,Activites immobilieres,0,0,1,0,2,0,0,0,0,0,0,3,6,0
2026-09-22,30,34032,I,Béziers,Hebergement et restauration,1,0,0,0,0,2,0,0,0,0,0,1,5,-1
2026-09-22,30,34032,J,Béziers,Information et communication,1,0,0,0,3,1,0,0,0,0,0,0,5,0
2026-09-22,30,34057,G,Castelnau-le-Lez,"Commerce, reparation d'automobiles",1,0,0,0,0,3,0,0,0,0,0,0,5,-2
2026-09-22,30,34057,H,Castelnau-le-Lez,Transports et entreposage,1,0,0,0,1,2,0,0,0,0,0,1,5,-1
2026-09-22,30,34057,M,Castelnau-le-Lez,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,4,5,0
2026-09-22,30,34087,M,Cournonsec,"Activites specialisees, scientifiques et techniques",0,0,1,0,0,0,0,0,0,0,0,4,5,0
2026-09-22,30,34123,H,Juvignac,Transports et entreposage,2,0,0,0,0,3,0,0,0,0,0,0,5,-1
2026-09-22,30,34123,G,Juvignac,"Commerce, reparation d'automobiles",2,0,0,0,0,2,0,0,0,0,0,1,5,0
2026-09-22,30,34154,K,Mauguio,Activites financieres et d'assurance,0,0,2,0,0,0,0,0,0,0,0,3,5,0
2026-09-22,30,34198,M,Pérols,"Activites specialisees, scientifiques et techniques",1,0,0,0,0,1,0,0,0,0,0,2,5,0
2026-09-22,30,34198,G,Pérols,"Commerce, reparation d'automobiles",0,0,0,0,1,0,0,1,0,0,1,3,5,0
2026-09-22,30,34301,G,Sète,"Commerce, reparation d'automobiles",1,0,1,0,1,0,0,0,0,0,0,2,5,1
2026-09-22,30,34332,G,Vias,"Commerce, reparation d'automobiles",0,0,0,0,3,2,0,0,0,0,0,0,5,-2
2026-09-22,30,34341,F,Villeveyrac,Construction,0,0,0,0,0,0,0,0,0,0,0,5,5,0
