nom_commune,code_commune,population_commune,creations,radiations,defaillances,evenements,solde_net
Montpellier,34172,310240,35,12,0,114,23
Béziers,34032,81545,12,5,0,32,7
Sète,34301,45337,6,1,0,24,5
Castelnau-le-Lez,34057,26058,4,2,0,22,2
Mauguio,34154,16522,3,1,0,18,2
Saint-Jean-de-Védas,34270,13328,1,0,0,13,1
Agde,34003,29939,4,1,0,12,3
Frontignan,34108,24136,2,1,0,9,1
Juvignac,34123,14055,4,4,0,9,0
Castries,34058,6883,1,0,0,8,1
Lattes,34129,17351,2,1,0,8,1
Vendargues,34327,7262,1,2,0,7,-1
Lunel,34145,26623,3,1,0,6,2
La Grande-Motte,34344,8440,3,0,0,5,3
Saint-Gély-du-Fesc,34255,10472,1,1,0,5,0
Vias,34332,5952,1,1,0,5,0
Clermont-l'Hérault,34079,9461,0,1,0,4,-1
Cournonsec,34087,3616,1,0,0,4,1
Fabrègues,34095,7447,2,0,0,4,2
Gigean,34113,6639,1,2,0,4,-1
Grabels,34116,9092,1,0,0,4,1
Lansargues,34127,3233,2,1,0,4,1
Pérols,34198,9615,0,0,0,4,0
Thézan-lès-Béziers,34310,3124,1,2,0,4,-1
Vailhauquès,34320,2722,0,0,0,4,0
Baillargues,34022,7829,1,1,0,3,0
Caux,34063,2718,1,0,0,3,1
Le Crès,34090,9226,0,0,0,3,0
Marsillargues,34151,6988,1,0,0,3,1
Mèze,34157,12669,0,0,0,3,0
Palavas-les-Flots,34192,6133,2,0,0,3,2
Saint-Aunès,34240,4530,0,1,0,3,-1
Saint-Georges-d'Orques,34259,5676,0,0,0,3,0
Saint-Mathieu-de-Tréviers,34276,4979,2,0,0,3,2
Valras-Plage,34324,4432,0,1,0,3,-1
Vendres,34329,2616,0,0,0,3,0
Villetelle,34340,1768,1,0,0,3,1
Balaruc-les-Bains,34023,7139,0,0,0,2,0
Bessan,34031,5838,0,0,0,2,0
Capestang,34052,3514,0,0,0,2,0
Combaillaux,34082,2001,1,0,0,2,1
Cournonterral,34088,7359,1,0,0,2,1
Espondeilhan,34094,1268,0,0,0,2,0
Laroque,34128,1668,0,0,0,2,0
Le Pouget,34210,2122,0,0,0,2,0
Lieuran-lès-Béziers,34139,1486,1,0,0,2,1
Lodève,34142,7251,0,0,0,2,0
Maraussan,34148,4789,1,0,0,2,1
Maureilhan,34155,2495,0,0,0,2,0
Montady,34161,3990,1,0,0,2,1
Montagnac,34162,4515,0,1,0,2,-1
Moulès-et-Baucels,34174,875,0,0,0,2,0
Paulhan,34194,4039,0,0,0,2,0
Pézenas,34199,7797,2,0,0,2,2
Saint-André-de-Sangonis,34239,6427,0,0,0,2,0
Saint-Bauzille-de-Montmel,34242,1246,0,0,0,2,0
Saint-Clément-de-Rivière,34247,5218,0,0,0,2,0
Saint-Nazaire-de-Pézan,34280,625,0,0,0,2,0
Sauvian,34298,5608,1,1,0,2,0
Teyran,34309,4787,1,0,0,2,1
Villeneuve-lès-Béziers,34336,4500,1,1,0,2,0
Villeveyrac,34341,3972,0,0,0,2,0
Aspiran,34013,1672,0,1,0,1,-1
Autignac,34018,982,1,0,0,1,1
Balaruc-le-Vieux,34024,2737,0,0,0,1,0
Bassan,34025,2383,0,1,0,1,-1
Bouzigues,34039,1601,0,0,0,1,0
Bédarieux,34028,5804,0,1,0,1,-1
Campagnan,34047,714,0,0,0,1,0
Castelnau-de-Guers,34056,1208,0,0,0,1,0
Cazedarnes,34065,682,0,0,0,1,0
Clapiers,34077,6006,0,1,0,1,-1
Colombiers,34081,2814,0,0,0,1,0
Corneilhan,34084,1622,1,0,0,1,1
Entre-Vignes,34246,2200,1,0,0,1,1
Faugères,34096,548,0,0,0,1,0
Gabian,34109,886,1,0,0,1,1
Ganges,34111,3724,0,0,0,1,0
Gignac,34114,6651,0,0,0,1,0
Jacou,34120,6924,0,0,0,1,0
Lamalou-les-Bains,34126,2389,0,0,0,1,0
Le Bosc,34036,1435,0,0,0,1,0
Lunel-Viel,34146,4507,1,0,0,1,1
Lézignan-la-Cèbe,34136,1580,1,0,0,1,1
Marseillan,34150,8414,0,0,0,1,0
Mireval,34159,3301,0,1,0,1,-1
Montarnaud,34163,4208,0,1,0,1,-1
Montaud,34164,1014,0,0,0,1,0
