nom_commune,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
Montpellier,66,0,12,2,41,45,0,11,10,0,21,100,305,11
Béziers,25,0,16,0,14,8,0,0,2,0,2,16,84,15
Mauguio,5,0,4,0,8,1,0,1,0,0,1,16,37,4
Lattes,2,0,1,0,3,2,0,0,1,0,1,15,27,-1
Pérols,1,0,1,0,3,1,0,1,0,0,1,7,15,0
Saint-Gély-du-Fesc,2,0,0,0,1,1,0,1,0,0,1,5,10,1
Clermont-l'Hérault,0,0,2,1,0,3,0,0,1,0,1,2,10,-4
Ganges,1,0,0,1,1,0,0,0,1,0,1,2,6,0
Claret,0,0,0,0,2,0,0,1,0,0,1,0,3,0
Lansargues,2,0,0,0,0,1,0,0,1,0,1,2,6,0
Nissan-lez-Enserune,0,0,1,0,0,0,0,0,1,0,1,2,4,-1
Castelnau-le-Lez,6,0,1,1,4,6,0,0,0,0,0,18,40,0
Sète,6,0,2,1,6,1,0,0,0,0,0,18,35,5
Agde,8,0,4,0,5,4,0,0,0,0,0,6,27,4
Lunel,5,0,1,1,0,2,0,0,0,0,0,10,21,3
Saint-Jean-de-Védas,2,0,0,1,1,3,0,0,0,0,0,17,25,-1
Vendargues,1,0,1,0,1,2,0,0,0,0,0,5,10,-1
La Grande-Motte,3,0,1,0,2,0,0,0,0,0,0,5,12,3
Cournonsec,1,0,1,0,0,0,0,0,0,0,0,6,8,1
Juvignac,6,0,1,0,1,8,0,0,0,0,0,2,18,-2
Mèze,1,0,0,0,1,2,0,0,0,0,0,5,11,-1
Villeveyrac,0,0,0,0,1,0,0,0,0,0,0,7,8,0
Frontignan,5,0,1,1,0,1,0,0,0,0,0,6,14,4
Pézenas,3,0,1,0,1,0,0,0,0,0,0,7,12,3
Servian,1,0,2,0,0,1,0,0,0,0,0,2,6,0
Vias,2,0,0,0,4,2,0,0,0,0,0,1,9,0
Villeneuve-lès-Maguelone,0,0,0,0,1,2,0,0,0,0,0,2,6,-2
commune inconnue,0,0,0,0,0,3,0,0,0,0,0,0,3,-3
Baillargues,2,0,0,0,0,3,0,0,0,0,0,3,9,-1
Castries,3,0,0,0,4,0,0,0,0,0,0,5,12,3
Fabrègues,3,0,1,0,1,0,0,0,0,0,0,4,9,3
Grabels,2,0,0,0,2,0,0,0,0,0,0,3,7,2
Puisserguier,1,0,0,0,0,0,0,0,0,0,0,2,3,1
Saint-Aunès,0,0,0,0,2,1,0,0,0,0,0,6,9,-1
Saint-Georges-d'Orques,1,0,0,0,0,0,0,0,0,0,0,4,5,1
Saint-Mathieu-de-Tréviers,4,0,0,0,0,0,0,0,0,0,0,4,8,4
Balaruc-les-Bains,0,0,0,0,0,0,0,0,0,0,0,8,8,0
Balaruc-le-Vieux,0,0,0,0,0,0,0,0,0,0,0,4,4,0
Bessan,0,0,1,0,1,0,0,0,0,0,0,2,4,0
Bouzigues,0,0,0,0,1,1,0,0,0,0,0,1,4,-1
Capestang,2,0,1,0,1,0,0,0,0,0,0,0,4,2
Cournonterral,1,0,0,0,0,2,0,0,0,0,0,2,6,-1
Le Crès,0,0,0,1,1,1,0,0,0,0,0,4,7,-1
Espondeilhan,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Gigean,2,0,0,0,0,2,0,0,0,0,0,1,5,0
Jonquières,2,0,1,0,0,0,0,0,0,0,0,0,3,2
Magalas,0,0,0,0,0,1,0,0,0,0,0,1,2,-1
Maraussan,1,0,0,0,1,0,0,0,0,0,0,0,2,1
Montagnac,0,0,0,0,2,3,0,0,0,0,0,2,7,-3
Montarnaud,0,0,0,0,0,1,0,0,0,0,0,1,2,-1
Murviel-lès-Montpellier,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Palavas-les-Flots,2,0,0,0,1,0,0,0,0,0,0,0,3,2
Poussan,0,0,1,0,1,1,0,0,0,0,0,3,7,-1
Prades-le-Lez,1,0,0,0,1,0,0,0,0,0,0,3,5,1
Saint-André-de-Sangonis,1,0,1,0,1,1,0,0,0,0,0,1,5,0
Saint-Bauzille-de-Montmel,0,0,0,0,1,0,0,0,0,0,0,2,3,0
Saint-Geniès-des-Mourgues,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Saint-Nazaire-de-Pézan,0,0,0,0,3,0,0,0,0,0,0,0,3,0
Saussines,0,0,0,0,0,0,0,0,0,0,0,3,3,0
Sauvian,2,0,2,0,0,1,0,0,0,0,0,0,6,1
Sussargues,0,0,1,0,1,1,0,0,0,0,0,4,7,-1
Teyran,1,0,0,0,0,1,0,0,0,0,0,1,4,0
Vailhauquès,0,0,1,0,0,0,0,0,0,0,0,3,4,0
Valras-Plage,0,0,0,1,0,1,0,0,0,0,0,1,3,-1
Vendres,0,0,0,1,1,1,0,0,0,0,0,3,6,-1
"Rimeize, Clermont-l'Hérault",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Avignon, Béziers",0,0,0,1,0,0,0,0,0,0,0,0,1,0
Lyon IIe arrondissement,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adissan,1,0,0,0,1,0,0,0,0,0,0,1,3,1
Agonès,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Alignan-du-Vent,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Aniane,0,0,0,0,2,0,0,0,0,0,0,0,2,0
Aspiran,0,0,0,0,1,1,0,0,0,0,0,0,2,-1
Aumes,1,0,0,0,0,0,0,0,0,0,0,1,2,1
Autignac,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Avène,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
Bassan,1,0,0,0,0,1,0,0,0,0,0,0,2,0
Beaulieu,2,0,0,0,0,0,0,0,0,0,0,1,3,2
