code_commune,nom_commune,population_commune,latitude,longitude,section_naf,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net,montant_ventes_eur,date_parution
,,,,,Z,Secteur non renseigne,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,,2026-09-22
34003,Agde,29939,43.3084,3.4838,G,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,0,1,1,,2026-09-22
34003,Agde,29939,43.3084,3.4838,I,Hebergement et restauration,1,0,0,0,0,1,0,0,0,0,0,0,2,0,,2026-09-22
34003,Agde,29939,43.3084,3.4838,L,Activites immobilieres,1,0,1,0,0,0,0,0,0,0,0,0,2,1,,2026-09-22
34003,Agde,29939,43.3084,3.4838,M,"Activites specialisees, scientifiques et techniques",0,0,0,0,1,0,0,0,0,0,0,0,1,0,,2026-09-22
34003,Agde,29939,43.3084,3.4838,S,Autres activites de services,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,2026-09-22
34003,Agde,29939,43.3084,3.4838,Z,Secteur non renseigne,1,0,0,0,1,0,0,0,0,0,0,3,5,1,,2026-09-22
34013,Aspiran,1672,43.5654,3.4499,Z,Secteur non renseigne,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,,2026-09-22
34018,Autignac,982,43.4991,3.1636,N,Services administratifs et de soutien,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,2026-09-22
34022,Baillargues,7829,43.6565,4.0102,H,Transports et entreposage,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,2026-09-22
34022,Baillargues,7829,43.6565,4.0102,L,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34022,Baillargues,7829,43.6565,4.0102,Z,Secteur non renseigne,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,,2026-09-22
34023,Balaruc-les-Bains,7139,43.4476,3.6922,I,Hebergement et restauration,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34023,Balaruc-les-Bains,7139,43.4476,3.6922,Q,Sante humaine et action sociale,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34024,Balaruc-le-Vieux,2737,43.465,3.6971,G,"Commerce, reparation d'automobiles",0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34025,Bassan,2383,43.4093,3.2563,H,Transports et entreposage,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,,2026-09-22
34028,Bédarieux,5804,43.6113,3.1637,S,Autres activites de services,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,,2026-09-22
34031,Bessan,5838,43.3566,3.4141,M,"Activites specialisees, scientifiques et techniques",0,0,0,0,1,0,0,0,0,0,0,0,1,0,,2026-09-22
34031,Bessan,5838,43.3566,3.4141,Z,Secteur non renseigne,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,C,Industrie manufacturiere,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,D,Production et distribution d'energie,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,F,Construction,0,0,4,0,2,0,0,0,0,0,0,0,6,0,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,G,"Commerce, reparation d'automobiles",1,0,1,0,0,1,0,0,0,0,0,1,4,0,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,H,Transports et entreposage,3,0,0,0,0,1,0,0,0,0,0,0,4,2,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,I,Hebergement et restauration,1,0,0,0,0,1,0,0,0,0,0,0,2,0,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,J,Information et communication,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,L,Activites immobilieres,2,0,0,0,0,0,0,0,0,0,0,1,3,2,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,M,"Activites specialisees, scientifiques et techniques",0,0,0,0,2,0,0,0,0,0,0,1,3,0,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,N,Services administratifs et de soutien,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,S,Autres activites de services,0,0,0,0,1,1,0,0,0,0,0,1,3,-1,,2026-09-22
34032,Béziers,81545,43.3481,3.2342,Z,Secteur non renseigne,2,0,1,0,0,0,0,0,0,0,0,0,3,2,,2026-09-22
34036,Le Bosc,1435,43.6985,3.3896,D,Production et distribution d'energie,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34039,Bouzigues,1601,43.445,3.6563,Z,Secteur non renseigne,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,2026-09-22
34047,Campagnan,714,43.5406,3.4936,J,Information et communication,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34052,Capestang,3514,43.3184,3.0501,G,"Commerce, reparation d'automobiles",0,0,1,0,1,0,0,0,0,0,0,0,2,0,,2026-09-22
34056,Castelnau-de-Guers,1208,43.436,3.4718,Z,Secteur non renseigne,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2026-09-22
34057,Castelnau-le-Lez,26058,43.6372,3.9113,F,Construction,0,0,0,0,1,0,0,0,0,0,0,1,2,0,,2026-09-22
34057,Castelnau-le-Lez,26058,43.6372,3.9113,G,"Commerce, reparation d'automobiles",1,0,0,0,0,1,0,0,0,0,0,0,2,0,,2026-09-22
34057,Castelnau-le-Lez,26058,43.6372,3.9113,H,Transports et entreposage,1,0,0,0,1,1,0,0,0,0,0,0,3,0,,2026-09-22
34057,Castelnau-le-Lez,26058,43.6372,3.9113,I,Hebergement et restauration,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,2026-09-22
34057,Castelnau-le-Lez,26058,43.6372,3.9113,M,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,3,3,0,,2026-09-22
