denomination,siren,nom_commune,libelle_section_naf,activite_declaree,url_annonce
BLUE INVEST,130084122,Agde,Hebergement et restauration,"l'exploitation de toutes formes d'hébergement para-hôtelier, notamment la location meublée de courte, moyenne ou longue durée, assortie de prestations de services telles que l'accueil des occupants, le nettoyage des locaux, la fourniture de linge, la restauration légère (sans vente d'alcools) et le petit-déjeuner, ainsi que toutes prestations annexes ou complémentaires ; la gestion, l'exploitation et la mise en valeur de tous biens immobiliers et mobiliers par tous moyens, et notamment par l'exploitation directe, la location, la sous-location, le bail, le mandat, la gestion déléguée ou toute autre forme de gestion ; l'exploitation de résidences de tourisme, résidences services, meublés de tourisme, gîtes et tous hébergements assimilés.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811448
SCI MT&F,130103906,Agde,Activites immobilieres,"- acquisition, administration, vente, gestion, location de tout bien immobilier ainsi que la réalisation de toute opération financière, mobilière ou immobilière se rattachant directement ou indirectement à cet objet",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811454
Stockinger,840920250,Agde,"Commerce, reparation d'automobiles","vente en ligne d'articles de décoration et d'ambiance pour la maison (diffuseurs, objets d'ambiance) par le biais d'un site internet et des réseaux sociaux.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811426
YAHLANE Azzé-Ddine,888091162,Agde,Secteur non renseigne,livraison de repas à domicile à vélo (non motorisé),https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811446
ROUDIL Entretien,109920454,Autignac,Services administratifs et de soutien,"tonte de pelouse, taille de haies, débroussaillage, entretien courant des espaces verts",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811444
"MEZOUAR Gaëtan, Jonathan",109945188,Baillargues,Transports et entreposage,livraison de repas à domicile à vélo.,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811506
BASZIC,130213333,Béziers,Activites immobilieres,"l'acquisition, la propriété, la gestion, l'administration, l'exploitation par bail, en meublé ou non meublé, ou autrement et la disposition de tous biens immobiliers bâtis ou non bâtis et droits immobiliers, dont elle pourra devenir propriétaire par voie d'accession, acquisition, échange, apport ou autrement,- la vente en totalité ou par fractions des immeubles acquis ou construits par la société. - l'affectation en copropriété s'il y a lieu, et la mise en valeur de toute manière même par l'édification de toutes augmentations et constructions nouvelles et la disposition, vente ou apport en société, de tous les immeubles et droits immobiliers composant son patrimoine.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811447
BENZAAMA Salim,500004965,Béziers,"Commerce, reparation d'automobiles","commerce ambulant de produits d'épicerie et de produits alimentaires : dattes, fruits secs. - commerce ambulant de produits non alimentaires : ustensiles, accessoires de mode, articles divers et produits pour la maison.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811428
JLK,130261787,Béziers,Transports et entreposage,"activité de coursiers urbains, services de livraisons de repas (sans fabrication) à domicile pour compte de tiers à vélo électrique ne nécessitant pas de capacité de transport",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811436
Jolie fleur,979230554,Béziers,Industrie manufacturiere,création et vente des bouquet et composition de fleurs artificielles,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811445
K.food,390935674,Béziers,Transports et entreposage,livraison de nourriture,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811440
KILL KILOS,130129778,Béziers,Information et communication,"création, développement et exploitation de logiciels et applications.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811449
MCV IMMO,130224413,Béziers,Activites immobilieres,"l'acquisition de tous immeubles bâtis ou non, par tous moyens et notamment par voie d'acquisition, échange, apport ou autrement. - la détention, l'administration, la gestion par location ou autrement de tous biens dont la société serait propriétaire. - l'acquisition de tous terrains, par tous moyens et notamment par voie d'acquisition, échange, apport ou autrement. - l'exploitation, la mise en valeur par tous moyens, l'édification de tous biens immobiliers sur le ou les terrain(s) dont elle serait propriétaire, et l'exploitation par bail ou autrement de ce ou ces terrain(s) et/ou construction(s) dont elle serait propriétaire. - éventuellement et exceptionnellement l'aliénation du ou des immeubles, terrains, constructions, par tous moyens, et notamment au moyen de vente, échange ou apport. - la prise de participation, par achat, souscription, apport, fusion, de tous biens mobiliers et valeurs mobilières de toutes entités juridiques avec ou sans personnalité morale, y inclus toutes opérations annexes ou connexes à ladite prise de participation et la réalisation de toutes opérations commerciales. la gestion et l'animation, sous toutes formes appropriées, de ses participations. la participation de la société, par tous moyens, dans toutes opérations pouvant se rapporter à son objet par voie de création de sociétés nouvelles, de souscriptions ou d'achat de titres ou droits sociaux, de fusion ou autrement ; de création, d'acquisition, de location, de prise en location-gérance de tous fonds de commerce ou établissements ; la prise, l'acquisition, l'exploitation ou la cession de tous procédés et brevets concernant ces activités.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811450
MGC FOOD,130199284,Béziers,Hebergement et restauration,"restauration traditionnelle et rapide, snack, consommation sur place, vente à emporter et livraison, spécialisée dans les tapas et spécialités espagnoles. l'activité est exercée sans vente de boissons alcoolisées.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811451
NM-AGENCY,109961151,Béziers,Secteur non renseigne,"achat et revente en ligne de produits de consommation courante (hygiène, entretien, cosmétique, high-tech) auprès de fournisseurs, destinés à la vente aux particuliers via un site e-commerce - livraison de repas et marchandises pour le compte de plateformes numériques (uber eats), en tant que coursier indépendant à vélo/scooter",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811439
NOXIA GROUPE,130158140,Béziers,Secteur non renseigne,"- la prise de participation, directe ou indirecte, dans toutes sociétés ou entreprises, par tous moyens, notamment par acquisition, souscription, apport, fusion ou autrement, - la détention, la gestion, l'administration, la cession et la valorisation de participations, titres et valeurs mobilières, - l'animation, la direction, la coordination et le contrôle des sociétés dans lesquelles elle détient une participation, et plus généralement l'exercice d'un rôle de holding animatrice.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811452
REFAS Mohammed,834693319,Béziers,Transports et entreposage,livraison de repas à domicile,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811443
SPV DEV'ENR 51,109269209,Béziers,Production et distribution d'energie,"développement, financement, construction et exploitation technique et commerciale de centrales de production d'électricité d'origine renouvelable et de stockage d'énergie par batteries.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811457
CIGALIS,109990028,Castelnau-le-Lez,Secteur non renseigne,,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811533
Livraison de repas a domicile,808077820,Castelnau-le-Lez,Transports et entreposage,coursier a vélo aimentaire,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811472
MUIN,109890921,Castelnau-le-Lez,"Commerce, reparation d'automobiles","vente en ligne de casquettes de marque propre (marque muin). conception de designs originaux, gestion des commandes via site e-commerce, vente au détail à des particuliers en france et à l'international.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811494
PARTHENAY,130252422,Castelnau-le-Lez,Secteur non renseigne,"location de logements : acquisition et mise en location nue, à usage d'habitation, d'un appartement et de son emplacement de stationnement situés 1 rue clément ader, 79200 parthenay, dont la société est propriétaire.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811549
"GREAU Nicolas, Laurent, Yannick",879559458,Castries,"Activites specialisees, scientifiques et techniques",achat revente de cuisines,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811492
HALC,521261982,Caux,Information et communication,"la création, la production, l'édition et la promotion de vidéos, podcasts - la vente et le commerce en ligne de chaussures, vêtements et accessoires de mode, vêtements, équipements et accessoires de sport, d'occasion uniquement",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811438
Maxine,130182637,Combaillaux,"Activites specialisees, scientifiques et techniques","la société a pour objet, en france : le conseil en gestion de patrimoine, au sens le plus large, à destination des personnes physiques et morales. le conseil pour la gestion et les affaires le conseil en investissements financiers. le courtage en assurance. le courtage en opération de banque et services de paiement l'accompagnement patrimonial global, incluant la réalisation d'études, d'analyses, de bilans ainsi que de recommandations patrimoniales et l'intervention d'acteurs externes, dans une approche de type multi family office. les transactions sur immeubles et fonds de commerce sans encaissement de fonds, effets ou valeurs le conseil en matière de fusion et acquisitions de sociétés",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811547
SCI TABTI NUEZ,130116536,Corneilhan,Activites immobilieres,"location et gestion de biens immobiliers propres, bâtis ou non bâtis, terrains, locaux et logements. acquisition, propriété, détention, administration, mise en valeur, aménagement et mise à disposition des biens et droits immobiliers appartenant à la société.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811455
ADN,130159791,Cournonsec,Activites immobilieres,"l'acquisition, la propriété, la gestion, l'administration et l'exploitation par bail, location nue, meublée ou autrement, de tous biens et droits immobiliers bâtis ou non bâtis dont elle pourrait devenir propriétaire ultérieurement, par voie d'acquisition, d'échange, d'apport ou autrement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811531
La Kaz,130076730,Cournonterral,Secteur non renseigne,"la société a pour objet l'acquisition, la prise à bail, la gestion, la location et l'administration de tous biens mobiliers et immobiliers ; et toutes opérations financières, mobilières ou immobilières se rattachant directement ou indirectement à cet objet et susceptibles d'en favoriser la réalisation.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811543
"Le Forestier Fany, Sandra, Yvette",109996397,Entre-Vignes,Secteur non renseigne,production de vidéos et de contenu en ligne,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811501
"BARBIER aude, Jacqueline, yvette",411386444,Fabrègues,Secteur non renseigne,achat et revente de meubles et objets anciens,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811475
